image_id,caption,pred_label,label_text,confidence,reason,raw_output,true_label
820050428775829505,"if 'the people ' can vote us out of the eu , how come nobody listens when they say # huntmustgo ?",1,SARCASM,High,"The caption expresses skepticism about the political process by juxtaposing the successful Brexit vote with ineffective public demands for Jeremy Hunt to step down using the hashtag #huntmustgo. The image's text ""Do you #LoveYourNHS?"" followed by ""I DO."" contrasts starkly, suggesting a disingenuous affirmation of confidence in the system. The direct, formal tone of the image paired with the questioning tone of the caption indicates a sarcastic critique of political responsiveness and public influence, showcasing irony.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption expresses skepticism about the political process by juxtaposing the successful Brexit vote with ineffective public demands for Jeremy Hunt to step down using the hashtag #huntmustgo. The image's text ""Do you #LoveYourNHS?"" followed by ""I DO."" contrasts starkly, suggesting a disingenuous affirmation of confidence in the system. The direct, formal tone of the image paired with the questioning tone of the caption indicates a sarcastic critique of political responsiveness and public influence, showcasing irony.",1
712023362784989184,pretzel sticks lay hours reacting with air and salt . they look like worms with disease . yum !,1,SARCASM,High,"The caption describes ""pretzel sticks"" that ""look like worms with disease"" which is incongruent with the image of two fresh loaves of golden-brown bread on a baking tray. The exaggerated and negative imagery of ""worms with disease"" is at odds with the inviting appearance of baked bread. Additionally, the closing remark ""yum !"" adds verbal irony, implying the opposite of the appetizing look of the bread, enhancing the sarcastic tone.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption describes ""pretzel sticks"" that ""look like worms with disease"" which is incongruent with the image of two fresh loaves of golden-brown bread on a baking tray. The exaggerated and negative imagery of ""worms with disease"" is at odds with the inviting appearance of baked bread. Additionally, the closing remark ""yum !"" adds verbal irony, implying the opposite of the appetizing look of the bread, enhancing the sarcastic tone.",1
725831990763638784,i have read articles on climate change & never saw the claim that it 's really caused by # globalcapitalism ?,1,SARCASM,High,"The caption expresses surprise at an idea (""climate change... 's really caused by # globalcapitalism"") that is ironically the focus of the very article depicted in the image. The image headline, ""Source of climate change,"" directly references the topic of global capitalism, highlighting the semantic gap between the expectation set in the caption and the image content. This incongruity indicates a sarcastic tone, as the caption feigns ignorance or disbelief of a claim that the article evidently makes.","LABEL: SARCASM
CONFIDENCE: High
REASON: The caption expresses surprise at an idea (""climate change... 's really caused by # globalcapitalism"") that is ironically the focus of the very article depicted in the image. The image headline, ""Source of climate change,"" directly references the topic of global capitalism, highlighting the semantic gap between the expectation set in the caption and the image content. This incongruity indicates a sarcastic tone, as the caption feigns ignorance or disbelief of a claim that the article evidently makes.",1
822593301874413570,ffs anyone got a recipe for pukeko soup ?,1,SARCASM,High,"The caption, ""ffs anyone got a recipe for pukeko soup ?"", employs sarcasm by combining the frustration suggested by ""ffs"" (for f***'s sake) with the absurdity of requesting a soup recipe for a pukeko, which is a bird native to New Zealand. This expresses annoyance at the animal in question, implied by the image description showing animal tracks on a freshly laid concrete surface. The incongruity between the practical annoyance of the disrupted smooth finish and the humorous exaggeration of wanting to make soup from the animal demonstrates a semantic gap designed for humorous effect.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption, ""ffs anyone got a recipe for pukeko soup ?"", employs sarcasm by combining the frustration suggested by ""ffs"" (for f***'s sake) with the absurdity of requesting a soup recipe for a pukeko, which is a bird native to New Zealand. This expresses annoyance at the animal in question, implied by the image description showing animal tracks on a freshly laid concrete surface. The incongruity between the practical annoyance of the disrupted smooth finish and the humorous exaggeration of wanting to make soup from the animal demonstrates a semantic gap designed for humorous effect.",0
817518021682020353,"as punishment for coming in last place in our fantasy league , <user> will be attending a live showing of "" the view . """,1,SARCASM,High,"The caption describes attending a live showing of ""The View"" as a punishment for losing a fantasy league, implying that watching this talk show is undesirable or unpleasant. The formal presentation of the e-ticket on the laptop screen contrasts with the negative context implied in the caption. Words like ""punishment"" and ""attending a live showing"" in this context, typically something to look forward to, are used ironically. The semantic gap and incongruity between the serious, straightforward ticket image and the negative connotation of the activity highlight the sarcastic intent.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption describes attending a live showing of ""The View"" as a punishment for losing a fantasy league, implying that watching this talk show is undesirable or unpleasant. The formal presentation of the e-ticket on the laptop screen contrasts with the negative context implied in the caption. Words like ""punishment"" and ""attending a live showing"" in this context, typically something to look forward to, are used ironically. The semantic gap and incongruity between the serious, straightforward ticket image and the negative connotation of the activity highlight the sarcastic intent.",0
819686761949368320,this is what i look like nude,1,SARCASM,High,"The caption ""this is what i look like nude"" suggests a human's nude appearance, yet the image clearly shows a white stag in a natural setting, with no people present. The semantic gap between the expectation set by the caption and the visual content of a woodland scene with an atypical white stag creates an incongruous juxtaposition. This contrast highlights verbal irony, as the caption humorously equates the poster's nude appearance to a majestic, serene animal in the wild.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption ""this is what i look like nude"" suggests a human's nude appearance, yet the image clearly shows a white stag in a natural setting, with no people present. The semantic gap between the expectation set by the caption and the visual content of a woodland scene with an atypical white stag creates an incongruous juxtaposition. This contrast highlights verbal irony, as the caption humorously equates the poster's nude appearance to a majestic, serene animal in the wild.",0
850579468355817472,this is why i wanted to be a mom ...,1,SARCASM,High,"The caption ""this is why i wanted to be a mom ..."" implies that motherhood leads to idyllic or glamorous moments. However, the image shows a woman engaged in mundane housework, dressed impractically in a stylish dress and high heels, which starkly contrasts with the typical attire for cleaning. This visual-textual incongruity suggests that the caption is used sarcastically to mock the notion that being a mom is always glamorous, hence indicating sarcasm.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption ""this is why i wanted to be a mom ..."" implies that motherhood leads to idyllic or glamorous moments. However, the image shows a woman engaged in mundane housework, dressed impractically in a stylish dress and high heels, which starkly contrasts with the typical attire for cleaning. This visual-textual incongruity suggests that the caption is used sarcastically to mock the notion that being a mom is always glamorous, hence indicating sarcasm.",1
823312595163746305,"harry in l . a wearing gucci 's "" space boy "" cardigan",0,NOT SARCASM,Medium,"The caption explicitly describes a specific fashion item, ""Gucci's 'space boy' cardigan,"" suggesting the focus is on a stylish or noteworthy garment. The image description notes a ""black jacket with large, colorful floral patterns,"" which aligns with the notion of a distinctive fashion piece as indicated by ""space boy."" While there is some incongruity with the casual setting, the caption's straightforward nature and the lack of overt verbal irony or hyperbole lean towards a genuine statement about fashion rather than sarcasm.","LABEL: NOT SARCASM  
CONFIDENCE: Medium  
REASON: The caption explicitly describes a specific fashion item, ""Gucci's 'space boy' cardigan,"" suggesting the focus is on a stylish or noteworthy garment. The image description notes a ""black jacket with large, colorful floral patterns,"" which aligns with the notion of a distinctive fashion piece as indicated by ""space boy."" While there is some incongruity with the casual setting, the caption's straightforward nature and the lack of overt verbal irony or hyperbole lean towards a genuine statement about fashion rather than sarcasm.",0
818607943453179904,the shift ... it 's happening ! been waiting ( impatiently ) . am ready . interview w / <user> of <user> by <user> . here we go,0,NOT SARCASM,Medium,"The caption expresses anticipation for an interview and the readiness for a shift, which aligns with the professional and serious content of the image description focusing on media power dynamics. There is no apparent semantic gap or incongruity between the optimistic tone of the caption and the serious nature of the quotes regarding changes in media reader influence, suggesting no intended sarcasm. However, there might be underlying ironic implications regarding historical media roles, hence only medium confidence.","LABEL: NOT SARCASM  
CONFIDENCE: Medium  
REASON: The caption expresses anticipation for an interview and the readiness for a shift, which aligns with the professional and serious content of the image description focusing on media power dynamics. There is no apparent semantic gap or incongruity between the optimistic tone of the caption and the serious nature of the quotes regarding changes in media reader influence, suggesting no intended sarcasm. However, there might be underlying ironic implications regarding historical media roles, hence only medium confidence.",0
919651889511313408,leaving <num> degrees barcelona to come home for,1,SARCASM,High,"The caption indicates leaving ""degrees Barcelona"" which is not completed but alludes to the warm, likely pleasant climate of Barcelona. The image shows a typical sunny beach scene with individuals enjoying the sun, dressed in swimwear, suggesting a warm environment. Given the context, returning from this cheerful and sunny environment is implied to be less desirable, thus highlighting a sense of irony through the juxtaposition of a pleasant scene contrasted against the expected return home, which is left ominously unsaid because it’s presumably not sunny. The omission and structure of the caption enhance this irony, suggesting the post is sarcastic.","LABEL: SARCASM  
CONFIDENCE: High  
REASON: The caption indicates leaving ""degrees Barcelona"" which is not completed but alludes to the warm, likely pleasant climate of Barcelona. The image shows a typical sunny beach scene with individuals enjoying the sun, dressed in swimwear, suggesting a warm environment. Given the context, returning from this cheerful and sunny environment is implied to be less desirable, thus highlighting a sense of irony through the juxtaposition of a pleasant scene contrasted against the expected return home, which is left ominously unsaid because it’s presumably not sunny. The omission and structure of the caption enhance this irony, suggesting the post is sarcastic.",1
